ADM2_NAME,tahun,bulan,mean
Kota Batu,2018.0,1.0,625.0236488791073
Malang,2018.0,1.0,617.6498944656439
Bangkalan,2018.0,1.0,392.4344811965304
Banyuwangi,2018.0,1.0,631.2301524016816
Blitar,2018.0,1.0,483.4584263481109
Bojonegoro,2018.0,1.0,426.1558103584949
Bondowoso,2018.0,1.0,513.8104301120924
Gresik,2018.0,1.0,372.20893972891355
Jember,2018.0,1.0,561.1984814849385
Jombang,2018.0,1.0,377.0027062001855
Kediri,2018.0,1.0,469.51565546106406
Kota Blitar,2018.0,1.0,417.20147705078125
Kota Kediri,2018.0,1.0,633.6947854849009
Kota Madiun,2018.0,1.0,303.61322021484375
Kota Malang,2018.0,1.0,565.306640625
Kota Mojokerto,2018.0,1.0,411.2223815917969
Kota Pasuruan,2018.0,1.0,75.44086456298828
Kota Probolinggo,2018.0,1.0,310.74176025390625
Kota Surabaya,2018.0,1.0,277.2598114013672
Lamongan,2018.0,1.0,526.8707857998936
Lumajang,2018.0,1.0,628.0358036513312
Madiun,2018.0,1.0,384.5383052346695
Magetan,2018.0,1.0,459.9396880855406
Mojokerto,2018.0,1.0,420.8337291695221
Nganjuk,2018.0,1.0,421.82744700774487
Ngawi,2018.0,1.0,362.9161016346213
Pacitan,2018.0,1.0,432.8447083035685
Pamekasan,2018.0,1.0,413.64135947923984
Pasuruan,2018.0,1.0,483.7881468796148
Ponorogo,2018.0,1.0,408.04435809966054
Probolinggo,2018.0,1.0,485.634760239545
Sampang,2018.0,1.0,424.51642910269805
Sidoarjo,2018.0,1.0,268.0539766199449
Situbondo,2018.0,1.0,511.0257514458198
Sumenep,2018.0,1.0,397.2774353027344
Trenggalek,2018.0,1.0,514.877057822354
Tuban,2018.0,1.0,442.41525243123385
Tulungagung,2018.0,1.0,514.1023877322018
Kota Jember,2018.0,1.0,762.959228515625
Kota Batu,2018.0,2.0,626.8389856675093
Malang,2018.0,2.0,602.0787418315062
Bangkalan,2018.0,2.0,395.88055501147363
Banyuwangi,2018.0,2.0,614.5647036794888
Blitar,2018.0,2.0,484.61192037605565
Bojonegoro,2018.0,2.0,439.3770027443215
Bondowoso,2018.0,2.0,538.465733072032
Gresik,2018.0,2.0,394.9514631106529
Jember,2018.0,2.0,564.7430170057485
Jombang,2018.0,2.0,428.0185467498472
Kediri,2018.0,2.0,513.2482092963326
Kota Blitar,2018.0,2.0,418.94830322265625
Kota Kediri,2018.0,2.0,643.4828127347506
Kota Madiun,2018.0,2.0,367.4979248046875
Kota Malang,2018.0,2.0,555.568937602796
Kota Mojokerto,2018.0,2.0,435.3254089355469
Kota Pasuruan,2018.0,2.0,91.016845703125
Kota Probolinggo,2018.0,2.0,460.4157409667969
Kota Surabaya,2018.0,2.0,310.2925354674622
Lamongan,2018.0,2.0,535.2787483512582
Lumajang,2018.0,2.0,651.0101625066139
Madiun,2018.0,2.0,411.72507994378645
Magetan,2018.0,2.0,498.38891378263145
Mojokerto,2018.0,2.0,465.6309070252536
Nganjuk,2018.0,2.0,439.95241345162003
Ngawi,2018.0,2.0,413.84148999364555
Pacitan,2018.0,2.0,417.62796397945084
Pamekasan,2018.0,2.0,414.5456906436534
Pasuruan,2018.0,2.0,497.7720699155234
Ponorogo,2018.0,2.0,405.9727621693765
Probolinggo,2018.0,2.0,605.4549984090469
Sampang,2018.0,2.0,425.16745931935867
Sidoarjo,2018.0,2.0,332.0401260457574
Situbondo,2018.0,2.0,565.4962551364652
Sumenep,2018.0,2.0,399.48590087890625
Trenggalek,2018.0,2.0,504.2626984377943
Tuban,2018.0,2.0,452.15573964436857
Tulungagung,2018.0,2.0,514.4954200157752
Kota Jember,2018.0,2.0,744.9598999023438
Kota Batu,2018.0,3.0,614.2318312701058
Malang,2018.0,3.0,584.7177263570776
Bangkalan,2018.0,3.0,395.3806182513219
Banyuwangi,2018.0,3.0,621.4814452435337
Blitar,2018.0,3.0,451.3061295482312
Bojonegoro,2018.0,3.0,444.17942418227955
Bondowoso,2018.0,3.0,562.2222717948581
Gresik,2018.0,3.0,392.02537605693794
Jember,2018.0,3.0,544.1088984414625
Jombang,2018.0,3.0,428.4217997078944
Kediri,2018.0,3.0,501.41154564751514
Kota Blitar,2018.0,3.0,369.40704345703125
Kota Kediri,2018.0,3.0,633.6060802753154
Kota Madiun,2018.0,3.0,398.0728759765625
Kota Malang,2018.0,3.0,544.3686748303865
Kota Mojokerto,2018.0,3.0,431.1649475097656
Kota Pasuruan,2018.0,3.0,75.46929168701172
Kota Probolinggo,2018.0,3.0,403.827392578125
Kota Surabaya,2018.0,3.0,308.12901926564643
Lamongan,2018.0,3.0,531.4821392901533
Lumajang,2018.0,3.0,599.3143242163003
Madiun,2018.0,3.0,416.76432999654037
Magetan,2018.0,3.0,515.0697371320027
