wilayah,tahun,bulan,hujan_mm,HTH_hari,hujan_normal_mm,rasio_hujan_terhadap_normal,sifat_hujan,KAT_value,KAT_normal,rasio_KAT_terhadap_normal,produksi_padi_bulanan,luas_panen_bulanan,tanggal,hujan_score,HTH_score,KAT_score,climate_score,freq_penurunan,volatilitas,historical_score,final_score,risk_label,risk_label_bulan_depan,final_score_bulan_depan,hujan_mm_lag1,hujan_mm_roll3,rasio_hujan_terhadap_normal_lag1,rasio_hujan_terhadap_normal_roll3,HTH_hari_lag1,HTH_hari_roll3,rasio_KAT_terhadap_normal_lag1,rasio_KAT_terhadap_normal_roll3,climate_score_lag1,climate_score_roll3,faktor_dominan,rekomendasi_aksi
BANGKALAN,2026,1,340.4567425258132,2,334.36025552231183,1.018233288504873,N,376.8232320923316,371.60765000259926,1.015649518028991,,,2026-01-01,0,0,1,1,0.4285714285714285,0.0703156797542,2,3,medium,medium,3.0,310.392105415849,313.1177072793212,1.1419238004427936,1.4935802447824449,1.0,1.3333333333333333,1.1697298703584813,1.2247294743597037,0.0,0.3333333333333333,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANGKALAN,2026,2,304.35225107747857,2,250.45920359620155,1.2151769498084213,AN,373.17182788921394,378.6902296407141,0.9864128731307196,,,2026-02-01,0,0,1,1,0.4285714285714285,0.0703156797542,2,3,medium,medium,3.0,340.4567425258132,318.4003663397136,1.018233288504873,1.125111346252029,2.0,1.6666666666666667,1.015649518028991,1.0572640871727303,1.0,0.6666666666666666,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANGKALAN,2026,3,260.97122719506643,3,243.2180108072461,1.0729930169599573,N,365.890293019806,378.7222070730231,0.9673537759872796,,,2026-03-01,0,0,1,1,0.4285714285714285,0.0703156797542,2,3,medium,,,304.35225107747857,301.9267402661194,1.2151769498084213,1.102134418424417,2.0,2.333333333333333,0.9864128731307196,0.9898053890489966,1.0,1.0,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BANYUWANGI,2026,1,370.4984340634509,2,304.503002595496,1.2167316279492444,AN,586.0929186115158,489.9728187427186,1.0984604412675196,,,2026-01-01,0,0,0,0,0.4285714285714285,0.0870787319983904,2,2,low,low,2.0,327.4010541392055,379.3368980629955,1.0897104232142958,1.5175117876155548,3.0,2.0,1.2420114245532563,1.231420090563646,0.0,0.0,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BANYUWANGI,2026,2,486.87665728934576,1,307.1291780988256,1.5852504158126013,AN,612.669091796875,533.2238436693336,1.0835171108519317,,,2026-02-01,0,0,0,0,0.4285714285714285,0.0870787319983904,2,2,low,medium,4.0,370.4984340634509,394.92538183066745,1.2167316279492444,1.2972308223253808,2.0,2.0,1.0984604412675196,1.1413296588909023,0.0,0.0,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BANYUWANGI,2026,3,268.4709509127926,4,274.95929511289023,0.9764025282453764,N,590.3519647113347,551.7373496310289,1.0308525975110705,,,2026-03-01,0,1,1,2,0.4285714285714285,0.0870787319983904,2,4,medium,,,486.87665728934576,375.2820140885298,1.5852504158126013,1.2594615240024074,1.0,2.333333333333333,1.0835171108519317,1.070943383210174,0.0,0.6666666666666666,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BATU,2026,1,408.7864135152128,2,385.0298639019522,1.0617005376479325,N,581.9965416403379,572.0089717191809,1.0183124054050767,,,2026-01-01,0,0,1,1,0.5714285714285714,0.2486747165692653,2,3,medium,medium,3.0,502.1097969964677,505.1628523732266,1.2336117980524073,1.5658257596051932,2.0,1.6666666666666667,1.0938218106184572,1.1447202366096867,0.0,0.3333333333333333,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BATU,2026,2,561.2452933809224,2,446.2492403449262,1.2576946751710107,AN,584.8214223525104,582.3364468742819,1.00580974198297,,,2026-02-01,0,0,1,1,0.5714285714285714,0.2486747165692653,2,3,medium,medium,3.0,408.7864135152128,490.71383463086767,1.0617005376479325,1.18433567029045,2.0,2.0,1.0183124054050767,1.0393146526688346,1.0,0.6666666666666666,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BATU,2026,3,512.3719336994678,3,434.3989826263285,1.1794961641063784,AN,559.6605435539694,580.4635436114144,0.9657662241779212,,,2026-03-01,0,0,1,1,0.5714285714285714,0.2486747165692653,2,3,medium,,,561.2452933809224,494.134546865201,1.2576946751710107,1.1662971256417738,2.0,2.333333333333333,1.00580974198297,0.996629457188656,1.0,1.0,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BLITAR,2026,1,380.03914995969865,2,295.2368883668672,1.2875397729377591,AN,427.55616198088,411.25058891512606,1.0414636175676566,,,2026-01-01,0,0,1,1,0.4285714285714285,0.1478668912964074,2,3,medium,low,2.0,354.6311465655373,395.687532435896,1.1163815265055776,1.5320849935614105,3.0,2.333333333333333,1.1891918470800922,1.290738895698976,0.0,0.3333333333333333,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
